INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-01-19','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-510,'Catering balance payment',1),
('2025-01-20','CompanyBudget/Operations/Utilities/Electricity',-240,'Electricity usage',1),
('2025-01-20','CompanyBudget/Operations/Utilities/Internet',-120,'Internet monthly fee',1),
('2025-01-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-850,'Paid search ads',1),
('2025-01-20','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus to station',1),

-- 여기까지 약 50개
-- 아래부터 150개 추가 계속됨

('2025-01-21','CompanyBudget/Operations/OfficeSupplies/Printing',-55,'Business card printing',1),
('2025-01-21','CompanyBudget/StaffWelfare/MealSupport/Lunch',-68,'Lunch subsidy',1),
('2025-01-22','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-250,'Festival booth reservation',1),
('2025-01-22','CompanyBudget/Operations/OfficeSupplies/Stationery',-22,'Erasers and pens',1),
('2025-01-23','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1470,'Flight for tech conference',1),
('2025-01-23','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-180,'Visa payment',1),
('2025-01-24','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-490,'Booth decoration cost',1),
('2025-01-24','CompanyBudget/StaffWelfare/MealSupport/Dinner',-102,'Dinner expense',1),
('2025-01-25','CompanyBudget/Operations/OfficeSupplies/Printing',-29,'Printed project outline',1),
('2025-01-25','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-310,'Workshop instructor fee',1),

-- 1월 후원금 (양수)
('2025-01-26','CompanyBudget/Operations',800,'Corporate sponsor support received',1),
('2025-01-26','CompanyBudget/EventExpense',500,'Donation for community event',1),

('2025-01-27','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi for urgent meeting',1),
('2025-01-27','CompanyBudget/Operations/OfficeSupplies/Stationery',-17,'Document folders',1),
('2025-01-28','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-780,'Retargeting ad spend',1),
('2025-01-28','CompanyBudget/Operations/Utilities/Electricity',-230,'Electricity payment',1),
('2025-01-29','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-390,'Hotel stay for regional visit',1),
('2025-01-29','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-01-30','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-270,'Local community support fund',1),
('2025-01-30','CompanyBudget/StaffWelfare/MealSupport/Lunch',-76,'Lunch subsidy',1),
('2025-01-31','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus for work commute',1),
('2025-01-31','CompanyBudget/Operations/OfficeSupplies/Printing',-33,'Poster print',1),

-- 1월 약 80개 정도, 아래 120개 = 2~3월

('2025-02-01','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Launch video promotion',1),
('2025-02-01','CompanyBudget/StaffWelfare/MealSupport/Dinner',-98,'Dinner after overtime',1),
('2025-02-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-24,'Taxi to warehouse',1),
('2025-02-02','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity bill',1),
('2025-02-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'Executive flight ticket',1),
('2025-02-03','CompanyBudget/Operations/OfficeSupplies/Stationery',-39,'Binders and pens',1),
('2025-02-04','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-700,'Venue equipment rental',1),
('2025-02-04','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-210,'Donation for school program',1),

-- 후원금
('2025-02-05','CompanyBudget/Operations',600,'Government subsidy received',1),
('2025-02-05','CompanyBudget/EventExpense',450,'Community grant received',1),

('2025-02-06','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-260,'Workshop meal cost',1),
('2025-02-06','CompanyBudget/Operations/OfficeSupplies/Printing',-48,'Document printing',1),
('2025-02-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-540,'Booth lighting rental',1),
('2025-02-07','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Lunch support',1),
('2025-02-08','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Guesthouse',-105,'Guesthouse stay',1),
('2025-02-08','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-02-09','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-270,'Summer festival coordination fee',1),
('2025-02-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-670,'Social media ads',1),
('2025-02-10','CompanyBudget/StaffWelfare/MealSupport/Dinner',-123,'Dinner reimbursement',1),
('2025-02-10','CompanyBudget/Operations/OfficeSupplies/Printing',-36,'Flyer printing',1),

-- 100개 돌파

('2025-02-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-27,'Taxi to company event',1),
('2025-02-11','CompanyBudget/Operations/OfficeSupplies/Stationery',-23,'Sticky notes',1),
('2025-02-12','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-340,'Community participation fee',1),
('2025-02-12','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-890,'Campaign ads',1),
('2025-02-13','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa application',1),
('2025-02-13','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity usage',1),
('2025-02-14','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-380,'Group hiking event',1),
('2025-02-14','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-6,'Bus transfer',1),
('2025-02-15','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Project printing',1),
('2025-02-15','CompanyBudget/StaffWelfare/MealSupport/Lunch',-88,'Lunch reimbursement',1),

-- 후원금
('2025-02-16','CompanyBudget/Operations',900,'Corporate donation received',1),

('2025-02-16','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Catering',-470,'Catering reservation',1),
('2025-02-17','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-610,'Booth construction fee',1),
('2025-02-17','CompanyBudget/Operations/Utilities/Internet',-120,'Monthly internet',1),
('2025-02-18','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-450,'Hotel for demo event',1),
('2025-02-18','CompanyBudget/Operations/OfficeSupplies/Stationery',-35,'Office supplies',1),
('2025-02-19','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-230,'Community event expense',1),
('2025-02-19','CompanyBudget/StaffWelfare/MealSupport/Dinner',-115,'Dinner meal reimbursement',1),
('2025-02-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-760,'Online performance ads',1),
('2025-02-20','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-33,'Taxi to warehouse',1),

-- 2월 140개 근접

('2025-02-21','CompanyBudget/Operations/OfficeSupplies/Printing',-37,'Report printing',1),
('2025-02-21','CompanyBudget/Operations/Utilities/Electricity',-240,'Electricity fee',1),
('2025-02-22','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-295,'Workshop instructor cost',1),
('2025-02-22','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-220,'Festival planning',1),
('2025-02-23','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-580,'Booth frame rental',1),
('2025-02-23','CompanyBudget/StaffWelfare/MealSupport/Lunch',-92,'Lunch cost',1),

-- 후원금
('2025-02-24','CompanyBudget/EventExpense',700,'Local government cultural support',1),

('2025-02-24','CompanyBudget/Operations/OfficeSupplies/Stationery',-28,'Pens',1),
('2025-02-25','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1400,'Travel for partnership meeting',1),
('2025-02-25','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-165,'Visa cost',1),
('2025-02-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-830,'Video ad promotion',1),
('2025-02-26','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-02-27','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community charity payment',1),
('2025-02-27','CompanyBudget/StaffWelfare/MealSupport/Dinner',-105,'Dinner meal',1),
('2025-02-28','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus fare',1),
('2025-02-28','CompanyBudget/Operations/OfficeSupplies/Printing',-49,'Flyer printing',1),

-- 150개 완료

-- 3월 데이터 시작
('2025-03-01','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-920,'Marketing push for product launch',1),
('2025-03-01','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity payment',1),
('2025-03-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi to partner office',1),
('2025-03-02','CompanyBudget/Operations/OfficeSupplies/Stationery',-26,'Tape and memo pads',1),
('2025-03-03','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1620,'Conference flight',1),
('2025-03-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-330,'School donation',1),
('2025-03-04','CompanyBudget/StaffWelfare/MealSupport/Lunch',-83,'Lunch subsidy',1),
('2025-03-04','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-03-05','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-240,'Event planning overhead',1),
('2025-03-05','CompanyBudget/Operations/OfficeSupplies/Printing',-52,'Printing materials',1),

-- 회사 투자/지원금
('2025-03-06','CompanyBudget/Operations',950,'External business support fund received',1),

('2025-03-06','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-630,'Booth installation labor',1),
('2025-03-07','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-390,'Outdoor team activity',1),
('2025-03-07','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus expense',1),
('2025-03-08','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-215,'Community support',1),
('2025-03-08','CompanyBudget/Operations/Utilities/Electricity',-255,'Electricity bill',1),
('2025-03-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-880,'Launch marketing ads',1),
('2025-03-09','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner reimbursement',1),
('2025-03-10','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa application',1),
('2025-03-10','CompanyBudget/Operations/OfficeSupplies/Stationery',-44,'Office stationery',1),
('2025-03-11','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1580,'Business trip flight',1),
('2025-03-11','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-230,'Festival preparation',1),
('2025-03-12','CompanyBudget/Operations/Utilities/Internet',-120,'Internet payment',1),
('2025-03-12','CompanyBudget/StaffWelfare/MealSupport/Lunch',-74,'Lunch support',1),
('2025-03-13','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-280,'Community fund support',1),
('2025-03-13','CompanyBudget/Operations/OfficeSupplies/Printing',-38,'Document printing',1),
('2025-03-14','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-320,'Workshop materials',1),
('2025-03-14','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-600,'Booth setup fee',1),
('2025-03-15','CompanyBudget/Operations/Utilities/Electricity',-240,'Electricity usage',1),
('2025-03-15','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi to meeting',1),
('2025-03-16','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-200,'Charity support',1),
('2025-03-16','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-830,'Paid advertising',1),

-- 마지막 후원금
('2025-03-17','CompanyBudget/Operations',850,'Partner sponsorship received',1),

('2025-03-17','CompanyBudget/StaffWelfare/MealSupport/Dinner',-112,'Dinner after event',1),
('2025-03-18','CompanyBudget/Operations/OfficeSupplies/Stationery',-33,'Office supplies',1),
('2025-03-18','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-270,'Festival planning cost',1),
('2025-03-19','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1450,'Flight for strategic meeting',1),
('2025-03-19','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-03-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-575,'Booth wiring fee',1),
('2025-03-20','CompanyBudget/StaffWelfare/MealSupport/Lunch',-87,'Lunch support',1),
('2025-03-21','CompanyBudget/Operations/OfficeSupplies/Printing',-40,'Printed leaflets',1),
('2025-03-21','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus travel',1),
('2025-03-22','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-290,'Community help donation',1),
('2025-03-22','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Product launch ads',1),
('2025-03-23','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity bill',1),
('2025-03-23','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-21,'Taxi travel',1),
('2025-03-24','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Office items',1),
('2025-03-24','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-360,'Team outdoor activity',1),
('2025-03-25','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Festival materials',1),
('2025-03-25','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa fee',1),
('2025-03-26','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-03-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-610,'Stage booth setup',1),
('2025-03-27','CompanyBudget/StaffWelfare/MealSupport/Dinner',-119,'Dinner cost',1),
('2025-03-27','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-235,'Community activity support',1),
('2025-03-28','CompanyBudget/Operations/OfficeSupplies/Printing',-54,'Printing forms',1),
('2025-03-28','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Work bus travel',1),
('2025-03-29','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Final phase ads',1),
('2025-03-29','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity fee',1),
('2025-03-30','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-36,'Taxi to office',1),
('2025-03-30','CompanyBudget/Operations/OfficeSupplies/Stationery',-27,'Office essentials',1),
('2025-03-31','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-210,'Charity donation',1),
('2025-03-31','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch reimbursement',1);

INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
-- April 1–10
('2025-04-01','CompanyBudget/Operations/Utilities/Electricity',-240,'Monthly electricity bill',1),
('2025-04-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi to client site',1),
('2025-04-01','CompanyBudget/Operations/OfficeSupplies/Stationery',-22,'Office pens',1),
('2025-04-02','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-780,'Online marketing push',1),
('2025-04-02','CompanyBudget/StaffWelfare/MealSupport/Lunch',-86,'Team lunch subsidy',1),
('2025-04-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-210,'Community support activity',1),
('2025-04-03','CompanyBudget/Operations/OfficeSupplies/Printing',-41,'Printed documents',1),
('2025-04-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1550,'Overseas meeting flight',1),
('2025-04-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa fee',1),
('2025-04-05','CompanyBudget/StaffWelfare/MealSupport/Dinner',-110,'Dinner after overtime',1),
('2025-04-05','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-04-06','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus fare',1),
('2025-04-06','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth equipment rental',1),
('2025-04-07','CompanyBudget/Operations/OfficeSupplies/Stationery',-26,'Office materials',1),
('2025-04-07','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-260,'Festival planning cost',1),
('2025-04-08','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-330,'Team hiking event',1),
('2025-04-08','CompanyBudget/Operations/OfficeSupplies/Printing',-55,'Brochure printing',1),
('2025-04-09','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-420,'Hotel for regional event',1),
('2025-04-09','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-225,'Community collaboration',1),
('2025-04-10','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-900,'Campaign ads',1),

-- April 11–20
('2025-04-11','CompanyBudget/Operations/OfficeSupplies/Stationery',-21,'Sticky notes',1),
('2025-04-11','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch subsidy',1),
('2025-04-12','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-32,'Taxi to seminar',1),
('2025-04-12','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-240,'Booth deposit',1),
('2025-04-13','CompanyBudget/Operations/Utilities/Electricity',-255,'Electricity fee',1),
('2025-04-13','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-295,'Workshop fee',1),
('2025-04-14','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1650,'Flight for conference',1),
('2025-04-14','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-580,'Booth structure setup',1),
('2025-04-15','CompanyBudget/Operations/OfficeSupplies/Printing',-33,'Project printout',1),
('2025-04-15','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-310,'Local charity',1),
('2025-04-16','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-04-16','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus travel',1),
('2025-04-17','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-830,'Product promotion ads',1),
('2025-04-17','CompanyBudget/StaffWelfare/MealSupport/Dinner',-108,'Dinner cost',1),
('2025-04-18','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Files and folders',1),
('2025-04-18','CompanyBudget/EventExpense/AnnualEvents/YearEndParty/Venue',-780,'Venue deposit',1),
('2025-04-19','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa application',1),
('2025-04-19','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Community support',1),
('2025-04-20','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Lunch',1),
('2025-04-20','CompanyBudget/Operations/Utilities/Electricity',-240,'Power usage',1),

-- April 21–30
('2025-04-21','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi to meeting',1),
('2025-04-21','CompanyBudget/Operations/OfficeSupplies/Printing',-46,'Report printing',1),
('2025-04-22','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-660,'Booth build',1),
('2025-04-22','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-350,'Outdoor activity',1),

-- April income
('2025-04-23','CompanyBudget/Operations',850,'Corporate support fund received',1),
('2025-04-23','CompanyBudget/EventExpense',600,'Local grant support',1),

('2025-04-24','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-870,'Social ads',1),
('2025-04-24','CompanyBudget/Operations/OfficeSupplies/Stationery',-28,'Office staples',1),
('2025-04-25','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1520,'Staff travel booking',1),
('2025-04-25','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-165,'Travel visa',1),
('2025-04-26','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-280,'Donation to school program',1),
('2025-04-26','CompanyBudget/StaffWelfare/MealSupport/Dinner',-120,'Dinner reimbursement',1),
('2025-04-27','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-04-27','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-250,'Festival planning',1),
('2025-04-28','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus commute',1),
('2025-04-28','CompanyBudget/Operations/OfficeSupplies/Printing',-43,'Color printing',1),
('2025-04-29','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-410,'Hotel for event staff',1),
('2025-04-29','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Promotion ads',1),
('2025-04-30','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-230,'Community support fee',1),
('2025-04-30','CompanyBudget/StaffWelfare/MealSupport/Lunch',-77,'Lunch cost',1),

-- 4월 끝. 대략 70개. 아래 5월 70–140개, 6월 140–200개

-- May 1–10
('2025-05-01','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity bill',1),
('2025-05-01','CompanyBudget/StaffWelfare/MealSupport/Dinner',-114,'Dinner reimbursement',1),
('2025-05-02','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-940,'Marketing push',1),
('2025-05-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi to event',1),
('2025-05-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-300,'Community donation',1),
('2025-05-03','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Office pens',1),
('2025-05-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1680,'Conference travel',1),
('2025-05-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-175,'Visa renewal',1),
('2025-05-05','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-310,'Workshop fee',1),
('2025-05-05','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-275,'Festival booth cost',1),
('2025-05-06','CompanyBudget/Operations/Utilities/Internet',-120,'Monthly internet',1),
('2025-05-06','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus transport',1),
('2025-05-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth assembly',1),
('2025-05-07','CompanyBudget/StaffWelfare/MealSupport/Lunch',-91,'Lunch',1),
('2025-05-08','CompanyBudget/Operations/OfficeSupplies/Printing',-37,'Document print',1),
('2025-05-08','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Local program support',1),
('2025-05-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-880,'Marketing ads',1),
('2025-05-09','CompanyBudget/Operations/OfficeSupplies/Stationery',-27,'Binders',1),
('2025-05-10','CompanyBudget/StaffWelfare/MealSupport/Dinner',-113,'Dinner',1),
('2025-05-10','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity',1),

-- May 11–20
('2025-05-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi fare',1),
('2025-05-11','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-260,'Event prep',1),
('2025-05-12','CompanyBudget/Operations/OfficeSupplies/Printing',-49,'Leaflet printing',1),
